age,gender,educ,nateduc,degree,incom16,income
30-39 Years old,Female,2 Years of College,NA,Highschool,Above average,"$25,000 or more"
NA,Female,5 Years of College,Too much,Bachelors,Average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,Too little,Bachelors,Above average,Refused
30-39 Years old,Male,10th Grade,Too little,Highschool,Below average,"$25,000 or more"
20-29 Years old,Female,2 Years of College,Too little,Highschool,Above average,NA
NA,Female,12th Grade,About right,Highschool,Below average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,NA,NA
80 Years old or over,Male,4 Years of College,NA,Graduate,Average,Refused
30-39 Years old,Male,8 Years of College,NA,Graduate,Below average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,Too little,Bachelors,Above average,NA
NA,Female,5 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
10-19 Years old,Male,10th Grade,Too little,Highschool,Far above average,Refused
30-39 Years old,Male,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Male,8 Years of College,NA,Graduate,Average,Refused
20-29 Years old,Male,1 Year of College,Too little,Highschool,Far below average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,NA,Far below average,NA
20-29 Years old,Female,3 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Below average,"$15,000 to $19,999"
NA,Female,5 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Far below average,"$8000 to $9,999"
20-29 Years old,Male,2 Years of College,Too little,Associate/Junior College,Below average,NA
40-49 Years old,Male,3 Years of College,NA,Associate/Junior College,Average,NA
80 Years old or over,Male,8 Years of College,NA,Graduate,Average,"$25,000 or more"
80 Years old or over,Male,5 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Far above average,"$25,000 or more"
60-69 Years old,Male,2 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Far below average,NA
80 Years old or over,Male,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Male,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
20-29 Years old,Female,3 Years of College,Too little,Highschool,Far below average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Average,"$8000 to $9,999"
NA,Female,3 Years of College,Too little,Graduate,Average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Average,"$7000 to $7,999"
20-29 Years old,Female,6 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
20-29 Years old,Male,12th Grade,About right,Highschool,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$20,000 to $24,999"
NA,Male,5 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
30-39 Years old,Male,8 Years of College,NA,Graduate,Below average,Refused
NA,Male,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
80 Years old or over,Female,NA,NA,Highschool,NA,NA
60-69 Years old,Male,7 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,8 Years of College,NA,Graduate,NA,NA
40-49 Years old,Female,5 Years of College,NA,Bachelors,Far below average,"Under $1,000"
NA,Female,10th Grade,About right,Highschool,Below average,"$3000 to $3,999"
NA,Female,3 Years of College,Too little,Highschool,NA,"$1,000 to $2,999"
20-29 Years old,Male,4 Years of College,NA,Bachelors,Far above average,"$25,000 or more"
NA,Male,11th Grade,Too much,Highschool,Below average,"$25,000 or more"
NA,Female,7 Years of College,NA,Graduate,Above average,Refused
NA,Male,3 Years of College,Too little,Highschool,Average,"$10,000 to $14,999"
NA,Female,6 Years of College,Too little,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
30-39 Years old,Male,6 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Female,3 Years of College,Too little,Highschool,Below average,"$25,000 or more"
80 Years old or over,Female,3 Years of College,About right,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,About right,Bachelors,Average,"$25,000 or more"
NA,Female,2 Years of College,NA,Highschool,Average,"$20,000 to $24,999"
80 Years old or over,Female,2 Years of College,About right,Highschool,Below average,"$25,000 or more"
NA,Male,12th Grade,Too much,Highschool,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Female,6 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$10,000 to $14,999"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,About right,Highschool,Average,"$25,000 or more"
30-39 Years old,Male,10th Grade,Too little,Less than highschool,Average,"$20,000 to $24,999"
NA,Female,12th Grade,Too much,Highschool,NA,"$25,000 or more"
NA,Male,4 Years of College,Too much,Bachelors,Below average,NA
NA,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
20-29 Years old,Female,2 Years of College,About right,Associate/Junior College,Average,"$10,000 to $14,999"
NA,NA,6 Years of College,NA,Graduate,Average,NA
50-59 Years old,Female,3 Years of College,NA,Associate/Junior College,Above average,"$25,000 or more"
NA,Male,8 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$15,000 to $19,999"
NA,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
30-39 Years old,Male,5 Years of College,Too little,Highschool,Above average,"$25,000 or more"
30-39 Years old,Male,3 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
30-39 Years old,Male,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
30-39 Years old,Male,12th Grade,About right,Highschool,Below average,NA
NA,Male,5 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Average,"$25,000 or more"
20-29 Years old,Female,6 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,3 Years of College,Too little,Associate/Junior College,Above average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Above average,Refused
NA,Female,4 Years of College,About right,Bachelors,Average,"$10,000 to $14,999"
NA,Male,12th Grade,Too little,Highschool,Above average,"$25,000 or more"
30-39 Years old,Female,8 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Far below average,"$20,000 to $24,999"
20-29 Years old,Female,5 Years of College,About right,Bachelors,Average,"$10,000 to $14,999"
NA,Female,10th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Male,6 Years of College,Too little,Graduate,Below average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,NA,Highschool,NA,"$25,000 or more"
NA,Female,1 Year of College,Too little,Highschool,Far below average,"$8000 to $9,999"
80 Years old or over,Female,10th Grade,NA,Highschool,Far below average,"$20,000 to $24,999"
30-39 Years old,Transgender,5 Years of College,Too little,Highschool,Average,"$25,000 or more"
40-49 Years old,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
70-79 Years old,Female,5 Years of College,Too little,Bachelors,Average,Refused
NA,Female,7 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,Above average,"$25,000 or more"
20-29 Years old,Male,12th Grade,Too little,Highschool,Far below average,NA
NA,Male,1 Year of College,NA,Highschool,Average,"$25,000 or more"
50-59 Years old,Female,3 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
NA,Male,1 Year of College,Too much,Highschool,Average,"$25,000 or more"
50-59 Years old,Female,1 Year of College,NA,Highschool,Far above average,"$20,000 to $24,999"
30-39 Years old,Female,1 Year of College,Too little,Highschool,Average,NA
30-39 Years old,Female,11th Grade,NA,Highschool,Average,"$15,000 to $19,999"
30-39 Years old,Male,4 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
NA,Female,8 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Female,8 Years of College,Too much,Graduate,Above average,Refused
60-69 Years old,Female,4 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
60-69 Years old,Female,3 Years of College,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
60-69 Years old,Male,12th Grade,Too little,Highschool,Far below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Graduate,Above average,NA
NA,Female,1 Year of College,NA,Highschool,Far above average,"$10,000 to $14,999"
NA,Female,12th Grade,About right,Highschool,Above average,"$20,000 to $24,999"
10-19 Years old,Female,1 Year of College,Too much,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,NA,Highschool,Above average,"$25,000 or more"
80 Years old or over,Female,4 Years of College,Too much,Bachelors,Above average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,NA,"$25,000 or more"
NA,Transgender,3 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Male,NA,Too little,Less than highschool,NA,NA
NA,Female,2 Years of College,NA,Highschool,Average,Refused
10-19 Years old,Female,2 Years of College,About right,Graduate,Above average,Refused
80 Years old or over,Male,10th Grade,NA,Highschool,Average,NA
NA,Female,6 Years of College,NA,Graduate,Above average,Refused
20-29 Years old,Male,5 Years of College,Too little,Bachelors,Average,"$25,000 or more"
80 Years old or over,Male,8 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Far below average,"$20,000 to $24,999"
NA,Female,2 Years of College,About right,Associate/Junior College,Average,"$25,000 or more"
10-19 Years old,Female,12th Grade,NA,Highschool,Below average,NA
NA,Male,12th Grade,About right,Highschool,Average,"$5000 to $5,999"
NA,Male,1 Year of College,NA,Highschool,Far below average,"$10,000 to $14,999"
20-29 Years old,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,NA,NA,NA,Less than highschool,NA,Refused
80 Years old or over,Male,6 Years of College,NA,Graduate,Below average,NA
NA,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Graduate,Average,NA
NA,Male,4 Years of College,NA,Bachelors,Average,"$10,000 to $14,999"
NA,Female,6 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Far below average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Female,3 Years of College,NA,Associate/Junior College,Far above average,"$25,000 or more"
20-29 Years old,Male,12th Grade,About right,Highschool,Average,NA
30-39 Years old,Female,6 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Male,11th Grade,Too little,Less than highschool,Far above average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Average,Refused
30-39 Years old,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,NA,NA
20-29 Years old,Male,8 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Male,1 Year of College,Too little,Highschool,Average,"$10,000 to $14,999"
NA,Male,12th Grade,Too little,Highschool,Far below average,"$25,000 or more"
NA,Female,7 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Male,8 Years of College,Too little,Graduate,Average,Refused
NA,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
30-39 Years old,Female,8 Years of College,Too little,Graduate,Below average,"$20,000 to $24,999"
30-39 Years old,Male,3 Years of College,NA,Associate/Junior College,Below average,"$25,000 or more"
20-29 Years old,Female,11th Grade,Too little,Less than highschool,Average,"$25,000 or more"
NA,Female,8 Years of College,About right,Graduate,Below average,NA
30-39 Years old,Male,2 Years of College,NA,Associate/Junior College,Average,"$15,000 to $19,999"
NA,Female,1 Year of College,NA,Highschool,Above average,NA
NA,Male,5 Years of College,Too little,Bachelors,Far below average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
60-69 Years old,Female,6 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Male,6 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,Average,Refused
NA,Male,2 Years of College,NA,Highschool,Far below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,NA,Bachelors,Below average,"$10,000 to $14,999"
NA,Male,4 Years of College,Too much,Bachelors,Below average,"$25,000 or more"
80 Years old or over,Male,3 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Less than highschool,Below average,Refused
NA,Female,12th Grade,NA,Highschool,Above average,NA
NA,Male,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Female,5 Years of College,Too much,Graduate,Above average,"$25,000 or more"
40-49 Years old,Male,7 Years of College,Too little,Graduate,Average,Refused
20-29 Years old,Female,2 Years of College,NA,Highschool,Average,"$15,000 to $19,999"
NA,NA,1 Year of College,NA,Highschool,Below average,NA
20-29 Years old,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,8 Years of College,Too little,Graduate,Far below average,Refused
20-29 Years old,Male,3 Years of College,NA,Highschool,Above average,NA
NA,Female,2 Years of College,About right,Associate/Junior College,Average,"$15,000 to $19,999"
NA,Female,6 Years of College,About right,Graduate,Average,Refused
30-39 Years old,Male,2 Years of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Highschool,Below average,"$15,000 to $19,999"
NA,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
80 Years old or over,Female,8 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,8 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Average,Refused
NA,Female,8 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,3 Years of College,Too much,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,8th Grade,NA,Less than highschool,Average,"$7000 to $7,999"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
NA,Male,8 Years of College,NA,Graduate,Average,Refused
30-39 Years old,Female,12th Grade,Too little,Highschool,Far below average,"$25,000 or more"
40-49 Years old,Female,11th Grade,NA,Less than highschool,Far below average,"$15,000 to $19,999"
30-39 Years old,Female,11th Grade,Too little,Highschool,Average,"$25,000 or more"
10-19 Years old,Male,12th Grade,NA,Less than highschool,NA,"Under $1,000"
NA,Male,7 Years of College,NA,Graduate,Below average,Refused
NA,Male,6 Years of College,NA,Bachelors,Far below average,"$25,000 or more"
NA,Female,4 Years of College,About right,Bachelors,Average,Refused
NA,Female,5 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,3 Years of College,NA,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
30-39 Years old,Female,3 Years of College,Too little,Highschool,Average,"$15,000 to $19,999"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Male,3 Years of College,NA,Highschool,Above average,"$25,000 or more"
NA,Female,5 Years of College,NA,Graduate,Average,Refused
80 Years old or over,Female,1 Year of College,NA,Highschool,Average,"$10,000 to $14,999"
NA,Male,6 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Far below average,"$1,000 to $2,999"
NA,Female,2 Years of College,NA,Highschool,Average,NA
30-39 Years old,Male,6 Years of College,Too little,Graduate,Below average,"$25,000 or more"
80 Years old or over,Male,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Below average,NA
NA,Male,2 Years of College,Too little,Highschool,Below average,Refused
NA,Female,4 Years of College,About right,Bachelors,Average,NA
NA,Male,8 Years of College,About right,Graduate,Average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Average,Refused
NA,Female,5 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Graduate,Below average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,NA,Highschool,Below average,"$1,000 to $2,999"
NA,Male,2 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Far below average,NA
20-29 Years old,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,NA,NA
NA,Female,2 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Male,4 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
50-59 Years old,Female,4 Years of College,About right,Bachelors,Above average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Above average,"$25,000 or more"
NA,Male,4 Years of College,About right,Bachelors,Average,Refused
NA,Male,1 Year of College,NA,Highschool,Far below average,"$10,000 to $14,999"
20-29 Years old,Female,5 Years of College,Too little,Associate/Junior College,Far below average,"$15,000 to $19,999"
NA,Male,12th Grade,NA,Less than highschool,Average,"$15,000 to $19,999"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Male,8 Years of College,About right,Graduate,Average,"$25,000 or more"
NA,Male,1 Year of College,Too little,Highschool,Above average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
20-29 Years old,Male,3 Years of College,Too little,Associate/Junior College,Far above average,NA
30-39 Years old,Female,4 Years of College,NA,Associate/Junior College,Above average,"$20,000 to $24,999"
NA,Female,11th Grade,Too little,Highschool,Below average,"$10,000 to $14,999"
NA,Female,4 Years of College,NA,Graduate,Average,Refused
NA,Female,3 Years of College,Too little,Associate/Junior College,Average,"$15,000 to $19,999"
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
20-29 Years old,Female,1 Year of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Highschool,Above average,"$10,000 to $14,999"
80 Years old or over,Male,2 Years of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Average,Refused
NA,Female,6 Years of College,About right,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Below average,"$3000 to $3,999"
30-39 Years old,Male,6 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,Below average,"$25,000 or more"
20-29 Years old,NA,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
20-29 Years old,Male,NA,NA,Highschool,Above average,"Under $1,000"
NA,Female,3rd Grade,NA,Less than highschool,Average,"Under $1,000"
NA,Female,12th Grade,NA,Highschool,Average,NA
NA,Female,6 Years of College,Too little,Graduate,Above average,NA
NA,Male,4 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,12th Grade,About right,Highschool,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Average,Refused
20-29 Years old,Female,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Above average,"$25,000 or more"
20-29 Years old,Female,2 Years of College,Too little,Highschool,Above average,NA
30-39 Years old,Male,5 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
NA,Male,4 Years of College,Too much,Bachelors,Below average,Refused
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,NA,Graduate,Far below average,Refused
30-39 Years old,Male,4 Years of College,About right,Associate/Junior College,Average,"Under $1,000"
NA,Male,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,Far below average,"$25,000 or more"
30-39 Years old,Female,1 Year of College,Too little,Highschool,Average,NA
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
80 Years old or over,Female,12th Grade,About right,Highschool,Below average,"$25,000 or more"
NA,Male,6 Years of College,About right,Bachelors,Average,Refused
NA,Female,4 Years of College,NA,Bachelors,Far below average,NA
20-29 Years old,Male,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,NA,Highschool,Average,"$15,000 to $19,999"
50-59 Years old,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
30-39 Years old,Male,12th Grade,About right,Highschool,Far below average,"$20,000 to $24,999"
NA,Male,4 Years of College,NA,Bachelors,Average,Refused
NA,NA,6 Years of College,Too little,Graduate,NA,"$25,000 or more"
NA,Male,4 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$15,000 to $19,999"
NA,Female,4 Years of College,About right,Bachelors,Above average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Bachelors,Above average,"$5000 to $5,999"
30-39 Years old,Female,3 Years of College,About right,Associate/Junior College,Average,"$25,000 or more"
NA,Male,8th Grade,Too much,Less than highschool,Average,NA
NA,Female,6 Years of College,Too little,Graduate,Above average,NA
30-39 Years old,Male,3 Years of College,NA,Highschool,Above average,"$25,000 or more"
NA,Female,10th Grade,NA,Less than highschool,Below average,"$8000 to $9,999"
NA,Male,6 Years of College,NA,Graduate,Below average,"$25,000 or more"
20-29 Years old,Female,6 Years of College,NA,Graduate,Average,NA
NA,Male,7 Years of College,About right,Graduate,Above average,Refused
NA,Male,7 Years of College,NA,Graduate,Average,NA
NA,Female,8 Years of College,Too little,Graduate,Below average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,Too little,Highschool,Average,NA
20-29 Years old,Female,4 Years of College,NA,Bachelors,Above average,NA
NA,Female,12th Grade,About right,Highschool,Above average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,Average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Far above average,"$25,000 or more"
NA,Female,5 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,5 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Male,7 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Male,8 Years of College,Too little,Graduate,Average,Refused
NA,Male,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
70-79 Years old,Male,7 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$10,000 to $14,999"
NA,Female,12th Grade,NA,Highschool,Average,"Under $1,000"
NA,Female,12th Grade,NA,Highschool,Average,"$20,000 to $24,999"
NA,Male,4 Years of College,Too much,Associate/Junior College,Below average,"$25,000 or more"
30-39 Years old,Male,2 Years of College,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,3 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,6 Years of College,About right,Graduate,Far below average,"$25,000 or more"
30-39 Years old,Female,5 Years of College,NA,Graduate,Far above average,"Under $1,000"
NA,Female,12th Grade,NA,Highschool,Below average,"$1,000 to $2,999"
80 Years old or over,Female,4 Years of College,NA,Bachelors,Far below average,"$15,000 to $19,999"
50-59 Years old,Male,2 Years of College,NA,Associate/Junior College,Above average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Above average,"$25,000 or more"
60-69 Years old,Female,12th Grade,Too little,Highschool,Far below average,"$25,000 or more"
20-29 Years old,Male,4 Years of College,NA,Bachelors,Above average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,NA,Graduate,Average,"$25,000 or more"
30-39 Years old,Male,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
20-29 Years old,Female,2 Years of College,Too little,Highschool,Average,NA
NA,Male,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
NA,Female,5 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Average,"$8000 to $9,999"
30-39 Years old,Female,12th Grade,NA,Highschool,Below average,"$15,000 to $19,999"
NA,Female,12th Grade,NA,Highschool,Far below average,Refused
NA,Female,6th Grade,NA,Less than highschool,Far below average,NA
NA,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Below average,Refused
30-39 Years old,Female,3 Years of College,Too little,Highschool,Below average,NA
30-39 Years old,Female,6 Years of College,NA,Associate/Junior College,Average,"$7000 to $7,999"
NA,Female,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Average,Refused
30-39 Years old,Female,9th Grade,NA,Less than highschool,NA,"$1,000 to $2,999"
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
70-79 Years old,Female,1 Year of College,NA,Highschool,Below average,"$15,000 to $19,999"
20-29 Years old,Male,10th Grade,NA,Less than highschool,Average,NA
NA,Female,8th Grade,Too little,Less than highschool,Below average,"$25,000 or more"
20-29 Years old,Male,1 Year of College,NA,Highschool,Far below average,"$25,000 or more"
20-29 Years old,Female,12th Grade,NA,Highschool,Average,"$15,000 to $19,999"
NA,Male,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
20-29 Years old,Male,4 Years of College,NA,Bachelors,Above average,"$10,000 to $14,999"
NA,Male,1 Year of College,NA,Highschool,Average,"Under $1,000"
NA,Female,1 Year of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Male,8 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Female,1 Year of College,NA,Highschool,NA,"$10,000 to $14,999"
